"concentration","value","compound"
3.69897000433602,0.041,"carb_PA14 WT"
3.69897000433602,0.042,"carb_PA14 WT"
3.69897000433602,0.042,"carb_PA14 WT"
3.69897000433602,0.041,"Blank"
3.39794000867204,0.042,"carb_PA14 WT"
3.39794000867204,0.042,"carb_PA14 WT"
3.39794000867204,0.042,"carb_PA14 WT"
3.39794000867204,0.041,"Blank"
3.09691001300806,0.057,"carb_PA14 WT"
3.09691001300806,0.072,"carb_PA14 WT"
3.09691001300806,0.069,"carb_PA14 WT"
3.09691001300806,0.04,"Blank"
2.79588001734408,0.077,"carb_PA14 WT"
2.79588001734408,0.087,"carb_PA14 WT"
2.79588001734408,0.099,"carb_PA14 WT"
2.79588001734408,0.041,"Blank"
2.49485002168009,0.089,"carb_PA14 WT"
2.49485002168009,0.127,"carb_PA14 WT"
2.49485002168009,0.114,"carb_PA14 WT"
2.49485002168009,0.04,"Blank"
2.19382002601611,0.234,"carb_PA14 WT"
2.19382002601611,0.552,"carb_PA14 WT"
2.19382002601611,0.209,"carb_PA14 WT"
2.19382002601611,0.04,"Blank"
1.89279003035213,0.752,"carb_PA14 WT"
1.89279003035213,0.784,"carb_PA14 WT"
1.89279003035213,0.635,"carb_PA14 WT"
1.89279003035213,0.04,"Blank"
1.59176003468815,0.714,"carb_PA14 WT"
1.59176003468815,0.586,"carb_PA14 WT"
1.59176003468815,0.623,"carb_PA14 WT"
1.59176003468815,0.04,"Blank"
1.29073003902417,0.554,"carb_PA14 WT"
1.29073003902417,0.585,"carb_PA14 WT"
1.29073003902417,0.57,"carb_PA14 WT"
1.29073003902417,0.041,"Blank"
0.989700043360188,0.53,"carb_PA14 WT"
0.989700043360188,0.528,"carb_PA14 WT"
0.989700043360188,0.528,"carb_PA14 WT"
0.989700043360188,0.04,"Blank"
0.688670047696207,0.552,"carb_PA14 WT"
0.688670047696207,0.543,"carb_PA14 WT"
0.688670047696207,0.53,"carb_PA14 WT"
0.688670047696207,0.04,"Blank"
-Inf,0.536,"carb_PA14 WT"
-Inf,0.544,"carb_PA14 WT"
-Inf,0.543,"carb_PA14 WT"
-Inf,0.044,"Blank"
