"concentration","value","compound"
-0.536107011014093,100,"IS84"
-0.406713932979543,100,"IS84"
-0.27083521030723,50,"IS84"
-0.226945306635737,50,"IS84"
-0.30189945437661,25,"IS84"
-0.0404816230270017,25,"IS84"
-0.223298816011589,12.5,"IS84"
-0.206209615309181,12.5,"IS84"
-0.0990869322623309,6.25,"IS84"
-0.0888423912600234,6.25,"IS84"
-0.0877779434675845,3.125,"IS84"
-0.1073489661227,3.125,"IS84"
-0.0767559813697235,1.5625,"IS84"
-0.068542129310995,1.5625,"IS84"
-0.0824944904474534,0.78125,"IS84"
-0.0695604052332999,0.78125,"IS84"
-0.0390538042661686,0.390625,"IS84"
-0.0660068361687577,0.390625,"IS84"
0.083860800866573,0.1953125,"IS84"
-0.143271109617117,0.1953125,"IS84"
-0.742321425130815,0,"Blank"
-0.667561540084395,0,"Blank"
