"concentration","value","compound"
1,0.05,"BW WT"
1,0.05,"BW WT"
1,0.049,"BW WT"
1,0.047,"BW tolC"
1,0.047,"BW tolC"
1,0.048,"BW tolC"
1,0.043,"Blank"
0.522878745280338,0.05,"BW WT"
0.522878745280338,0.05,"BW WT"
0.522878745280338,0.049,"BW WT"
0.522878745280338,0.046,"BW tolC"
0.522878745280338,0.047,"BW tolC"
0.522878745280338,0.048,"BW tolC"
0.522878745280337,0.043,"Blank"
0.0457574905606751,0.054,"BW WT"
0.0457574905606751,0.055,"BW WT"
0.0457574905606751,0.054,"BW WT"
0.0457574905606751,0.048,"BW tolC"
0.0457574905606751,0.049,"BW tolC"
0.0457574905606751,0.05,"BW tolC"
0.0457574905606747,0.042,"Blank"
-0.431363764158987,0.059,"BW WT"
-0.431363764158987,0.059,"BW WT"
-0.431363764158987,0.059,"BW WT"
-0.431363764158987,0.051,"BW tolC"
-0.431363764158987,0.052,"BW tolC"
-0.431363764158987,0.053,"BW tolC"
-0.431363764158988,0.043,"Blank"
-0.90848501887865,0.066,"BW WT"
-0.90848501887865,0.065,"BW WT"
-0.90848501887865,0.066,"BW WT"
-0.90848501887865,0.057,"BW tolC"
-0.90848501887865,0.057,"BW tolC"
-0.90848501887865,0.06,"BW tolC"
-0.908485018878649,0.042,"Blank"
-1.38560627359831,0.127,"BW WT"
-1.38560627359831,0.122,"BW WT"
-1.38560627359831,0.131,"BW WT"
-1.38560627359831,0.064,"BW tolC"
-1.38560627359831,0.062,"BW tolC"
-1.38560627359831,0.062,"BW tolC"
-1.38560627359831,0.043,"Blank"
-1.86272752831797,0.254,"BW WT"
-1.86272752831797,0.223,"BW WT"
-1.86272752831797,0.23,"BW WT"
-1.86272752831797,0.117,"BW tolC"
-1.86272752831797,0.126,"BW tolC"
-1.86272752831797,0.14,"BW tolC"
-1.86272752831798,0.043,"Blank"
-2.33984878303764,0.391,"BW WT"
-2.33984878303764,0.376,"BW WT"
-2.33984878303764,0.391,"BW WT"
-2.33984878303764,0.389,"BW tolC"
-2.33984878303764,0.387,"BW tolC"
-2.33984878303764,0.388,"BW tolC"
-2.33984878303764,0.043,"Blank"
-2.8169700377573,0.375,"BW WT"
-2.8169700377573,0.368,"BW WT"
-2.8169700377573,0.366,"BW WT"
-2.8169700377573,0.357,"BW tolC"
-2.8169700377573,0.368,"BW tolC"
-2.8169700377573,0.379,"BW tolC"
-2.8169700377573,0.044,"Blank"
-3.29409129247696,0.377,"BW WT"
-3.29409129247696,0.374,"BW WT"
-3.29409129247696,0.361,"BW WT"
-3.29409129247696,0.363,"BW tolC"
-3.29409129247696,0.369,"BW tolC"
-3.29409129247696,0.376,"BW tolC"
-3.29409129247696,0.043,"Blank"
-3.77121254719662,0.375,"BW WT"
-3.77121254719662,0.374,"BW WT"
-3.77121254719662,0.366,"BW WT"
-3.77121254719662,0.376,"BW tolC"
-3.77121254719662,0.368,"BW tolC"
-3.77121254719662,0.371,"BW tolC"
-3.77121254719662,0.043,"Blank"
-Inf,0.372,"BW WT"
-Inf,0.37,"BW WT"
-Inf,0.37,"BW WT"
-Inf,0.368,"BW tolC"
-Inf,0.369,"BW tolC"
-Inf,0.38,"BW tolC"
-Inf,0.044,"Blank"
